Field,Trt,Year,Yield (Y)
F1,T1,2021,2.75
F1,T1,2022,3.54
F1,T1,2023,3.78
F1,T2,2021,4.12
F1,T2,2022,3.86
F1,T2,2023,2.5
F1,T3,2021,2.82
F1,T3,2022,4.58
F1,T3,2023,4.47
F2,T1,2021,2.54
F2,T1,2022,2.54
F2,T1,2023,4.63
F2,T2,2021,3.4
F2,T2,2022,3.52
F2,T2,2023,4.86
F2,T3,2021,4.74
F2,T3,2022,3.48
F2,T3,2023,4.5
F3,T1,2021,3.63
F3,T1,2022,3.57
F3,T1,2023,2.55
F3,T2,2021,4.48
F3,T2,2022,4.52
F3,T2,2023,4.41
F3,T3,2021,4.91
F3,T3,2022,2.62
F3,T3,2023,4.92
F4,T1,2021,4.65
F4,T1,2022,2.79
F4,T1,2023,2.61
F4,T2,2021,2.55
F4,T2,2022,2.79
F4,T2,2023,4.55
F4,T3,2021,3.43
F4,T3,2022,4.05
F4,T3,2023,3.48
F5,T1,2021,3.93
F5,T1,2022,3.2
F5,T1,2023,4.75
F5,T2,2021,4.05
F5,T2,2022,3.66
F5,T2,2023,3.19
F5,T3,2021,3.24
F5,T3,2022,4.24
F5,T3,2023,3.53
F6,T1,2021,3.91
F6,T1,2022,4.97
F6,T1,2023,3.29
F6,T2,2021,3.52
F6,T2,2022,3.3
F6,T2,2023,2.72
F6,T3,2021,4.85
F6,T3,2022,4.38
F6,T3,2023,4.03
F7,T1,2021,2.56
F7,T1,2022,4.58
F7,T1,2023,2.68
F7,T2,2021,2.82
F7,T2,2022,2.72
F7,T2,2023,2.87
F7,T3,2021,4.09
F7,T3,2022,2.7
F7,T3,2023,4.09
F8,T1,2021,4.44
F8,T1,2022,3.65
F8,T1,2023,4.1
F8,T2,2021,3.38
F8,T2,2022,4.37
F8,T2,2023,4.97
F8,T3,2021,3.35
F8,T3,2022,4.02
F8,T3,2023,4.93
F9,T1,2021,2.58
F9,T1,2022,3.2
F9,T1,2023,2.9
F9,T2,2021,4.02
F9,T2,2022,2.94
F9,T2,2023,3.28
F9,T3,2021,3.58
F9,T3,2022,2.63
F9,T3,2023,3.24
F10,T1,2021,3.06
F10,T1,2022,3.57
F10,T1,2023,5.0
F10,T2,2021,4.99
F10,T2,2022,2.96
F10,T2,2023,4.29
F10,T3,2021,4.73
F10,T3,2022,3.8
F10,T3,2023,4.35
